Data ID,Config ID,DateTime,SEN 1,SEN 2,SEN 3,SEN 4
466,59,16/11/05-00:00:00,4.9,45.8,88.6,-8989.0
467,59,16/11/05-00:05:00,5.0,45.7,88.7,-8989.0
468,59,16/11/05-00:10:00,4.9,45.7,88.7,-8989.0
469,59,16/11/05-00:15:00,4.9,45.7,88.6,-8989.0
470,59,16/11/05-00:20:00,4.9,45.8,88.7,-8989.0
471,59,16/11/05-00:25:00,5.0,45.8,88.6,-8989.0
472,59,16/11/05-00:30:00,4.9,45.8,88.6,-8989.0
473,59,16/11/05-00:35:00,4.9,45.8,88.6,-8989.0
474,59,16/11/05-00:40:00,4.9,45.8,88.7,-8989.0
475,59,16/11/05-00:45:00,5.0,45.8,88.6,-8989.0
476,59,16/11/05-00:50:00,4.9,45.8,88.6,-8989.0
477,59,16/11/05-00:55:00,4.9,45.8,88.6,-8989.0
478,59,16/11/05-01:00:00,4.9,45.8,88.6,-8989.0
479,59,16/11/05-01:05:00,4.9,45.8,88.6,-8989.0
480,59,16/11/05-01:10:00,4.9,45.8,88.6,-8989.0
481,59,16/11/05-01:15:00,4.9,45.8,88.6,-8989.0
482,59,16/11/05-01:20:00,4.9,45.8,88.7,-8989.0
483,59,16/11/05-01:25:00,5.0,45.8,88.7,-8989.0
484,59,16/11/05-01:30:00,4.9,45.8,88.6,-8989.0
485,59,16/11/05-01:35:00,4.9,45.8,88.7,-8989.0
486,59,16/11/05-01:40:00,4.9,45.8,88.6,-8989.0
487,59,16/11/05-01:45:00,5.0,45.8,88.7,-8989.0
488,59,16/11/05-01:50:00,4.9,45.8,88.6,-8989.0
489,59,16/11/05-01:55:00,4.9,45.8,88.6,-8989.0
490,59,16/11/05-02:00:00,4.9,45.8,88.7,-8989.0
491,59,16/11/05-02:05:00,4.9,45.9,88.7,-8989.0
492,59,16/11/05-02:10:00,4.9,45.9,88.6,-8989.0
493,59,16/11/05-02:15:00,4.9,45.9,88.6,-8989.0
494,59,16/11/05-02:20:00,4.9,45.9,88.7,-8989.0
495,59,16/11/05-02:25:00,4.9,45.9,88.7,-8989.0
496,59,16/11/05-02:30:00,4.9,45.9,88.7,-8989.0
497,59,16/11/05-02:35:00,4.9,45.9,88.7,-8989.0
498,59,16/11/05-02:40:00,4.9,45.9,88.7,-8989.0
499,59,16/11/05-02:45:00,4.9,45.9,88.7,-8989.0
500,59,16/11/05-02:50:00,4.9,45.9,88.7,-8989.0
501,59,16/11/05-02:55:00,5.0,45.9,88.7,-8989.0
502,59,16/11/05-03:00:00,4.9,45.9,88.7,-8989.0
503,59,16/11/05-03:05:00,5.0,45.9,88.7,-8989.0
504,59,16/11/05-03:10:00,4.9,46.0,88.7,-8989.0
505,59,16/11/05-03:15:00,5.0,46.0,88.7,-8989.0
506,59,16/11/05-03:20:00,4.9,46.0,88.7,-8989.0
507,59,16/11/05-03:25:00,5.0,46.0,88.7,-8989.0
508,59,16/11/05-03:30:00,4.9,46.1,88.7,-8989.0
509,59,16/11/05-03:35:00,5.0,46.0,88.7,-8989.0
510,59,16/11/05-03:40:00,4.9,45.9,88.7,-8989.0
511,59,16/11/05-03:45:00,4.9,45.8,88.7,-8989.0
512,59,16/11/05-03:50:00,4.9,45.8,88.7,-8989.0
513,59,16/11/05-03:55:00,4.9,45.8,88.7,-8989.0
514,59,16/11/05-04:00:00,5.0,45.8,88.7,-8989.0
515,59,16/11/05-04:05:00,4.9,45.7,88.7,-8989.0
516,59,16/11/05-04:10:00,4.9,45.4,88.7,-8989.0
517,59,16/11/05-04:15:00,4.9,45.2,88.6,-8989.0
518,59,16/11/05-04:20:00,4.9,45.0,88.6,-8989.0
519,59,16/11/05-04:25:00,4.9,44.9,88.6,-8989.0
520,59,16/11/05-04:30:00,4.9,44.8,88.6,-8989.0
521,59,16/11/05-04:35:00,4.9,44.6,88.5,-8989.0
522,59,16/11/05-04:40:00,4.9,44.7,88.4,-8989.0
523,59,16/11/05-04:45:00,4.8,44.6,88.3,-8989.0
524,59,16/11/05-04:50:00,4.8,44.6,88.3,-8989.0
525,59,16/11/05-04:55:00,4.8,44.5,88.3,-8989.0
526,59,16/11/05-05:00:00,4.8,44.5,88.3,-8989.0
527,59,16/11/05-05:05:00,4.8,44.4,88.3,-8989.0
528,59,16/11/05-05:10:00,4.8,44.3,88.3,-8989.0
529,59,16/11/05-05:15:00,4.8,44.3,88.4,-8989.0
530,59,16/11/05-05:20:00,4.8,44.2,88.3,-8989.0
531,59,16/11/05-05:25:00,4.8,44.2,88.4,-8989.0
532,59,16/11/05-05:30:00,4.8,44.1,88.4,-8989.0
533,59,16/11/05-05:35:00,4.8,44.1,88.4,-8989.0
534,59,16/11/05-05:40:00,4.8,44.0,88.4,-8989.0
535,59,16/11/05-05:45:00,4.9,44.0,88.4,-8989.0
536,59,16/11/05-05:50:00,4.8,43.9,88.3,-8989.0
537,59,16/11/05-05:55:00,4.9,43.9,88.4,-8989.0
538,59,16/11/05-06:00:00,4.8,43.8,88.4,-8989.0
539,59,16/11/05-06:05:00,4.8,43.8,88.4,-8989.0
540,59,16/11/05-06:10:00,4.8,43.7,88.3,-8989.0
541,59,16/11/05-06:15:00,4.8,43.7,88.3,-8989.0
542,59,16/11/05-06:20:00,4.8,43.6,88.4,-8989.0
543,59,16/11/05-06:25:00,4.8,43.6,88.4,-8989.0
544,59,16/11/05-06:30:00,4.8,43.6,88.4,-8989.0
545,59,16/11/05-06:35:00,4.8,43.6,88.3,-8989.0
546,59,16/11/05-06:40:00,4.8,43.6,88.3,-8989.0
547,59,16/11/05-06:45:00,4.9,43.5,88.3,-8989.0
548,59,16/11/05-06:50:00,4.8,43.5,88.3,-8989.0
549,59,16/11/05-06:55:00,4.8,43.5,88.3,-8989.0
550,59,16/11/05-07:00:00,4.8,43.5,88.4,-8989.0
551,59,16/11/05-07:05:00,4.8,43.4,88.3,-8989.0
552,59,16/11/05-07:10:00,4.8,43.4,88.4,-8989.0
553,59,16/11/05-07:15:00,4.8,43.4,88.3,-8989.0
554,59,16/11/05-07:20:00,4.8,43.4,88.3,-8989.0
555,59,16/11/05-07:25:00,4.8,43.4,88.3,-8989.0
556,59,16/11/05-07:30:00,4.8,43.5,88.3,-8989.0
557,59,16/11/05-07:35:00,4.8,43.6,88.3,-8989.0
558,59,16/11/05-07:40:00,4.8,43.6,88.3,-8989.0
559,59,16/11/05-07:45:00,4.9,43.5,88.3,-8989.0
560,59,16/11/05-07:50:00,4.8,43.5,88.3,-8989.0
561,59,16/11/05-07:55:00,4.8,43.4,88.3,-8989.0
562,59,16/11/05-08:00:00,4.8,43.4,88.3,-8989.0
563,59,16/11/05-08:05:00,4.8,43.4,88.3,-8989.0
564,59,16/11/05-08:10:00,4.8,43.3,88.3,-8989.0
565,59,16/11/05-08:15:00,4.8,43.3,88.3,-8989.0
566,59,16/11/05-08:20:00,4.8,43.3,88.3,-8989.0
567,59,16/11/05-08:25:00,4.8,43.3,88.3,-8989.0
568,59,16/11/05-08:30:00,4.8,43.2,88.3,-8989.0
569,59,16/11/05-08:35:00,4.8,43.2,88.3,-8989.0
570,59,16/11/05-08:40:00,4.8,43.2,88.3,-8989.0
571,59,16/11/05-08:45:00,4.8,43.3,88.3,-8989.0
572,59,16/11/05-08:50:00,4.8,43.4,88.3,-8989.0
573,59,16/11/05-08:55:00,4.8,43.5,88.3,-8989.0
574,59,16/11/05-09:00:00,4.8,43.5,88.3,-8989.0
575,59,16/11/05-09:05:00,4.9,43.7,88.4,-8989.0
576,59,16/11/05-09:10:00,4.9,43.7,88.4,-8989.0
577,59,16/11/05-09:15:00,4.9,43.8,88.4,-8989.0
578,59,16/11/05-09:20:00,4.9,43.9,88.4,-8989.0
579,59,16/11/05-09:25:00,4.9,43.9,88.4,-8989.0
580,59,16/11/05-09:30:00,4.9,43.9,88.4,-8989.0
581,59,16/11/05-09:35:00,4.9,43.9,88.4,-8989.0
582,59,16/11/05-09:40:00,4.9,44.0,88.4,-8989.0
583,59,16/11/05-09:45:00,4.9,44.1,88.5,-8989.0
584,59,16/11/05-09:50:00,4.9,44.1,88.4,-8989.0
585,59,16/11/05-09:55:00,4.9,44.1,88.5,-8989.0
586,59,16/11/05-10:00:00,4.9,44.2,88.5,-8989.0
587,59,16/11/05-10:05:00,4.9,44.2,88.5,-8989.0
588,59,16/11/05-10:10:00,4.9,44.2,88.5,-8989.0
589,59,16/11/05-10:15:00,4.9,44.3,88.5,-8989.0
590,59,16/11/05-10:20:00,4.9,44.3,88.5,-8989.0
591,59,16/11/05-10:25:00,4.9,44.3,88.5,-8989.0
592,59,16/11/05-10:30:00,4.9,44.3,88.5,-8989.0
593,59,16/11/05-10:35:00,4.9,44.3,88.5,-8989.0
594,59,16/11/05-10:40:00,4.9,44.3,88.5,-8989.0
595,59,16/11/05-10:45:00,4.9,44.4,88.5,-8989.0
596,59,16/11/05-10:50:00,4.9,44.4,88.5,-8989.0
597,59,16/11/05-10:55:00,4.9,44.4,88.5,-8989.0
598,59,16/11/05-11:00:00,4.9,44.4,88.5,-8989.0
599,59,16/11/05-11:05:00,4.9,44.4,88.5,-8989.0
600,59,16/11/05-11:10:00,4.9,44.4,88.5,-8989.0
601,59,16/11/05-11:15:00,4.9,44.4,88.5,-8989.0
602,59,16/11/05-11:20:00,4.9,44.4,88.5,-8989.0
603,59,16/11/05-11:25:00,4.9,44.5,88.5,-8989.0
604,59,16/11/05-11:30:00,4.9,44.6,88.5,-8989.0
605,59,16/11/05-11:35:00,4.9,44.7,88.5,-8989.0
606,59,16/11/05-11:40:00,4.9,44.8,88.5,-8989.0
607,59,16/11/05-11:45:00,4.9,44.9,88.5,-8989.0
608,59,16/11/05-11:50:00,4.9,44.9,88.5,-8989.0
609,59,16/11/05-11:55:00,4.9,45.0,88.5,-8989.0
610,59,16/11/05-12:00:00,4.9,45.0,88.5,-8989.0
611,59,16/11/05-12:05:00,4.9,45.0,88.6,-8989.0
612,59,16/11/05-12:10:00,4.9,45.1,88.6,-8989.0
613,59,16/11/05-12:15:00,4.9,45.1,88.6,-8989.0
614,59,16/11/05-12:20:00,4.9,45.1,88.6,-8989.0
615,59,16/11/05-12:25:00,4.9,45.2,88.6,-8989.0
616,59,16/11/05-12:30:00,4.9,45.2,88.6,-8989.0
617,59,16/11/05-12:35:00,4.9,45.2,88.6,-8989.0
618,59,16/11/05-12:40:00,4.9,45.3,88.6,-8989.0
619,59,16/11/05-12:45:00,4.9,45.3,88.6,-8989.0
620,59,16/11/05-12:50:00,4.9,45.3,88.6,-8989.0
621,59,16/11/05-12:55:00,4.9,45.4,88.6,-8989.0
622,59,16/11/05-13:00:00,4.9,45.4,88.6,-8989.0
623,59,16/11/05-13:05:00,4.9,45.4,88.6,-8989.0
624,59,16/11/05-13:10:00,4.9,45.5,88.6,-8989.0
625,59,16/11/05-13:15:00,4.9,45.5,88.6,-8989.0
626,59,16/11/05-13:20:00,4.9,45.5,88.7,-8989.0
627,59,16/11/05-13:25:00,5.0,45.5,88.6,-8989.0
628,59,16/11/05-13:30:00,4.9,45.5,88.6,-8989.0
629,59,16/11/05-13:35:00,4.9,45.6,88.6,-8989.0
630,59,16/11/05-13:40:00,4.9,45.6,88.6,-8989.0
631,59,16/11/05-13:45:00,5.0,45.6,88.6,-8989.0
632,59,16/11/05-13:50:00,4.9,45.6,88.6,-8989.0
633,59,16/11/05-13:55:00,4.9,45.6,88.6,-8989.0
634,59,16/11/05-14:00:00,4.9,45.6,88.6,-8989.0
635,59,16/11/05-14:05:00,5.0,45.7,88.7,-8989.0
636,59,16/11/05-14:10:00,4.9,45.7,88.6,-8989.0
637,59,16/11/05-14:15:00,4.9,45.7,88.7,-8989.0
638,59,16/11/05-14:20:00,4.9,45.7,88.7,-8989.0
639,59,16/11/05-14:25:00,5.0,45.7,88.7,-8989.0
640,59,16/11/05-14:30:00,4.9,45.8,88.7,-8989.0
641,59,16/11/05-14:35:00,4.9,45.8,88.7,-8989.0
642,59,16/11/05-14:40:00,5.0,45.8,88.7,-8989.0
643,59,16/11/05-14:45:00,5.0,45.8,88.7,-8989.0
644,59,16/11/05-14:50:00,5.0,45.8,88.7,-8989.0
645,59,16/11/05-14:55:00,5.0,45.8,88.7,-8989.0
646,59,16/11/05-15:00:00,5.0,45.9,88.7,-8989.0
647,59,16/11/05-15:05:00,5.0,45.9,88.7,-8989.0
648,59,16/11/05-15:10:00,5.0,45.9,88.7,-8989.0
649,59,16/11/05-15:15:00,5.0,45.9,88.7,-8989.0
650,59,16/11/05-15:20:00,5.0,45.9,88.7,-8989.0
651,59,16/11/05-15:25:00,5.0,45.9,88.7,-8989.0
